src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.103,192.168.56.100,68,67,17,2025-07-04 09:04:13,0.24456310272216797,5160.2223963999795,12.26677273312198,8.177848488747987,4.0889242443739935,2,1,672,590,336,336,336.0,0.0,590,590,590.0,0.0,590,336,420.6666666666667,119.73674828092204,14336.888888888889,40,20,20,2,0.12228155136108398,0.24456310272216797,0.0,0.12228155136108398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,420.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.0,590.0,0,2,1,672,590
192.168.56.103,192.168.56.255,59049,137,17,2025-07-04 09:04:34,0.0,0,0,0,0,2,0,184,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,2,0,184,0
192.168.56.103,192.168.56.255,49429,137,17,2025-07-04 09:04:35,0.0,0,0,0,0,2,0,184,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,2,0,184,0
192.168.56.103,192.168.56.255,52862,137,17,2025-07-04 09:04:35,0.0,0,0,0,0,2,0,184,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,2,0,184,0
192.168.56.103,224.0.0.251,5353,5353,17,2025-07-04 09:04:36,15.007731199264526,76.76043665124115,0.5996909113378215,0.5996909113378215,0.0,9,0,1152,0,160,75,128.0,37.74475681027322,0,0,0,0.0,160,75,128.0,37.74475681027322,1424.6666666666667,180,0,20,9,1.8759663999080658,7.901028871536255,0.0,2.5994283186345206,15.007731199264526,7.901028871536255,0.0,1.8759663999080658,2.5994283186345206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.0,0,0,9,0,1152,0
192.168.56.103,224.0.0.251,5353,5353,17,2025-07-04 09:05:07,0.0,0,0,0,0,2,0,320,0,160,160,160.0,0.0,0,0,0,0.0,160,160,160.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,0,0,2,0,320,0
192.168.56.103,224.0.0.251,5353,5353,17,2025-07-04 09:05:39,0.0,0,0,0,0,2,0,320,0,160,160,160.0,0.0,0,0,0,0.0,160,160,160.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,0,0,2,0,320,0
192.168.56.1,224.0.0.251,5353,5353,17,2025-07-04 09:06:22,0.0006477832794189453,387475.26831063675,4631.178505704822,4631.178505704822,0.0,3,0,251,0,109,71,83.66666666666667,17.9133717900592,0,0,0,0.0,109,71,83.66666666666667,17.9133717900592,320.88888888888886,60,0,20,3,0.00032389163970947266,0.0006477832794189453,0.0,0.00032389163970947266,0.0006477832794189453,0.0006477832794189453,0.0,0.00032389163970947266,0.00032389163970947266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,83.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.66666666666667,0,0,3,0,251,0
192.168.56.103,224.0.0.251,5353,5353,17,2025-07-04 09:06:43,0.0,0,0,0,0,2,0,320,0,160,160,160.0,0.0,0,0,0,0.0,160,160,160.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,0,0,2,0,320,0
192.168.56.103,224.0.0.251,5353,5353,17,2025-07-04 09:08:51,0.0,0,0,0,0,2,0,320,0,160,160,160.0,0.0,0,0,0,0.0,160,160,160.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,0,0,2,0,320,0
