src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.103,192.168.56.105,42629,21,6,2025-07-04 02:06:18,0.039499521255493164,5012.718982574107,75.95028761475919,50.63352507650613,25.316762538253066,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,0.019749760627746582,0.039499521255493164,0.0,0.019749760627746582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0.5,66.0,502,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
192.168.56.103,192.168.56.105,41091,6200,6,2025-07-04 02:06:18,0.0349125862121582,5728.5930863050935,85.92889629457639,57.28593086305093,28.642965431525464,2,1,134,66,67,67,67.0,0.0,66,66,66.0,0.0,67,66,66.66666666666667,0.4714045207910317,0.2222222222222222,40,20,20,2,0.0174562931060791,0.0349125862121582,0.0,0.0174562931060791,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0.5,66.66666666666667,502,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,66.0,0,2,1,134,66
192.168.56.103,192.168.56.100,68,67,17,2025-07-04 02:06:52,0.5980899333953857,2110.0505618537404,5.015968055119827,3.3439787034132182,1.6719893517066091,2,1,672,590,336,336,336.0,0.0,590,590,590.0,0.0,590,336,420.6666666666667,119.73674828092204,14336.888888888889,40,20,20,2,0.29904496669769287,0.5980899333953857,0.0,0.29904496669769287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,420.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.0,590.0,0,2,1,672,590
192.168.56.101,192.168.56.100,68,67,17,2025-07-04 02:08:15,0.0,0,0,0,0,2,0,654,0,327,327,327.0,0.0,0,0,0,0.0,327,327,327.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,327.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.0,0,0,2,0,654,0
192.168.56.100,192.168.56.101,67,68,17,2025-07-04 02:08:21,0.0,0,0,0,0,2,0,1180,0,590,590,590.0,0.0,0,0,0,0.0,590,590,590.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.0,0,0,2,0,1180,0
192.168.56.105,192.168.56.100,68,67,17,2025-07-04 02:09:42,0.37377047538757324,3408.50892162885,8.026316141983164,5.350877427988776,2.675438713994388,2,1,684,590,342,342,342.0,0.0,590,590,590.0,0.0,590,342,424.6666666666667,116.90832115617586,13667.555555555557,40,20,20,2,0.18688523769378662,0.37377047538757324,0.0,0.18688523769378662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,424.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.0,590.0,0,2,1,684,590
192.168.56.105,192.168.56.255,138,138,17,2025-07-04 02:11:13,0.00015163421630859375,5467103.798742139,19784.45283018868,19784.45283018868,0.0,3,0,829,0,286,257,276.3333333333333,13.670731102939918,0,0,0,0.0,286,257,276.3333333333333,13.670731102939918,186.88888888888889,60,0,20,3,7.581710815429688e-05,0.00015163421630859375,0.0,7.581710815429688e-05,0.00015163421630859375,0.00015163421630859375,0.0,7.581710815429688e-05,7.581710815429688e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,276.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.3333333333333,0,0,3,0,829,0
192.168.56.105,192.168.56.103,21,42629,6,2025-07-04 02:11:18,4.4345855712890625e-05,7531707.182795699,112750.10752688172,67650.06451612903,45100.04301075269,3,2,226,108,80,66,75.33333333333333,6.599663291074444,54,54,54.0,0.0,80,54,66.8,11.634431657799189,135.35999999999999,60,40,20,2,1.1086463928222656e-05,2.956390380859375e-05,0.0,1.2185615327883354e-05,2.384185791015625e-07,2.384185791015625e-07,0.0,1.1920928955078125e-07,1.1920928955078125e-07,0,0,0,0,0,2,0,0,0,1,0,2,2,3,0,0,0.6666666666666666,66.8,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.33333333333333,54.0,0,3,2,226,108
192.168.56.103,192.168.56.100,68,67,17,2025-07-04 02:11:52,0.4248321056365967,2970.5852812346543,7.061613188354963,4.707742125569975,2.3538710627849877,2,1,672,590,336,336,336.0,0.0,590,590,590.0,0.0,590,336,420.6666666666667,119.73674828092204,14336.888888888889,40,20,20,2,0.21241605281829834,0.4248321056365967,0.0,0.21241605281829834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,420.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.0,590.0,0,2,1,672,590
192.168.56.101,192.168.56.100,68,67,17,2025-07-04 02:13:15,0.32787251472473145,3794.1576195992284,9.149897796461161,6.099931864307441,3.0499659321537207,2,1,654,590,327,327,327.0,0.0,590,590,590.0,0.0,590,327,414.6666666666667,123.97938896804133,15370.888888888889,40,20,20,2,0.16393625736236572,0.32787251472473145,0.0,0.16393625736236572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,414.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.0,590.0,0,2,1,654,590
